word,reason,source_key,review_status
degenerate,user_confusable,user_approved_2026_08_13,reviewed
degrade,user_confusable,user_approved_2026_08_13,reviewed
herbivorous,ielts_topic_family,idp_animals,reviewed
carnivorous,ielts_topic_family,idp_animals,reviewed
omnivorous,ielts_topic_family,idp_animals,reviewed
generation,user_confusable,user_approved_2026_08_13,reviewed
generalization,user_confusable,user_approved_2026_08_13,reviewed
generosity,user_confusable,user_approved_2026_08_13,reviewed
strategy,user_confusable,user_approved_2026_08_13,reviewed
tragedy,user_confusable,user_approved_2026_08_13,reviewed
pistol,user_confusable,user_approved_2026_08_13,reviewed
piston,user_confusable,user_approved_2026_08_13,reviewed
postal,user_confusable,user_approved_2026_08_13,reviewed
extent,user_confusable,user_approved_2026_08_13,reviewed
extend,user_confusable,user_approved_2026_08_13,reviewed
static,user_confusable,user_approved_2026_08_13,reviewed
statistic,user_confusable,user_approved_2026_08_13,reviewed
statue,user_confusable,user_approved_2026_08_13,reviewed
status,user_confusable,user_approved_2026_08_13,reviewed
summit,user_confusable,user_approved_2026_08_13,reviewed
submit,user_confusable,user_approved_2026_08_13,reviewed
stimulate,user_confusable,user_approved_2026_08_13,reviewed
stipulate,user_confusable,user_approved_2026_08_13,reviewed
dissimulate,user_confusable,user_approved_2026_08_13,reviewed
colleague,user_confusable,user_approved_2026_08_13,reviewed
college,user_confusable,user_approved_2026_08_13,reviewed
flock,user_confusable,user_approved_2026_08_13,reviewed
block,user_confusable,user_approved_2026_08_13,reviewed
perceptible,user_confusable,user_approved_2026_08_13,reviewed
susceptible,user_confusable,user_approved_2026_08_13,reviewed
trumpet,user_confusable,user_approved_2026_08_13,reviewed
triumph,user_confusable,user_approved_2026_08_13,reviewed
vacation,user_confusable,user_approved_2026_08_13,reviewed
vocation,user_confusable,user_approved_2026_08_13,reviewed
inhabit,user_confusable,user_approved_2026_08_13,reviewed
inhibit,user_confusable,user_approved_2026_08_13,reviewed
inherit,user_confusable,user_approved_2026_08_13,reviewed
inherent,user_confusable,user_approved_2026_08_13,reviewed
desperate,user_confusable,user_approved_2026_08_13,reviewed
disparate,user_confusable,user_approved_2026_08_13,reviewed
devaluation,user_confusable,user_approved_2026_08_13,reviewed
deviation,user_confusable,user_approved_2026_08_13,reviewed
devastation,user_confusable,user_approved_2026_08_13,reviewed
conserve,user_confusable,user_approved_2026_08_13,reviewed
converse,user_confusable,user_approved_2026_08_13,reviewed
observe,user_confusable,user_approved_2026_08_13,reviewed
